YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,4,21,2,MQ,3610,N532MQ,LGA,DTW,659,827,88,15,842,112,97,75,502,957,7,851,1004,73,0,0,,0,0,73,0,0
2015,3,10,2,EV,5544,N738EV,ORF,LGA,600,549,-11,17,606,80,76,52,296,658,7,720,705,-15,0,0,,,,,,
2015,4,3,5,WN,583,N943WN,HOU,STL,1130,1132,2,11,1143,110,107,92,687,1315,4,1320,1319,-1,0,0,,,,,,
2015,9,21,1,WN,824,N929WN,BWI,PVD,1010,1006,-4,16,1022,75,68,48,327,1110,4,1125,1114,-11,0,0,,,,,,
2015,8,5,3,AS,65,N778AS,PSG,JNU,1203,1422,139,4,1426,37,31,24,123,1450,3,1240,1453,133,0,0,,0,0,0,133,0
2015,5,22,5,UA,195,N68453,LAS,IAH,1152,1214,22,17,1231,179,174,147,1222,1658,10,1651,1708,17,0,0,,0,0,0,17,0
2015,7,1,3,WN,2410,N7823A,MDW,BOI,1620,1735,75,17,1752,220,222,202,1448,2014,3,1900,2017,77,0,0,,2,0,0,75,0
2015,6,13,6,OO,4464,N804SK,SLC,BNA,1705,1702,-3,23,1725,203,200,170,1404,2115,7,2128,2122,-6,0,0,,,,,,
2015,10,17,6,UA,830,N431UA,13930,11042,2103,2100,-3,15,2115,77,68,45,316,2300,8,2320,2308,-12,0,0,,,,,,
2015,10,4,7,B6,584,N950JB,13204,12478,945,950,5,16,1006,149,160,139,944,1225,5,1214,1230,16,0,0,,11,0,5,0,0
2015,3,16,1,WN,609,N7732A,ATL,HOU,645,645,0,16,701,140,124,102,696,743,6,805,749,-16,0,0,,,,,,
2015,6,26,5,MQ,3478,N809MQ,JFK,RDU,807,756,-11,31,827,109,106,67,427,934,8,956,942,-14,0,0,,,,,,
2015,10,20,2,DL,2188,N818DA,10397,14747,1610,1609,-1,11,1620,330,302,282,2182,1802,9,1840,1811,-29,0,0,,,,,,
2015,12,26,6,AA,659,N914UY,DCA,LAS,2045,2123,38,16,2139,332,296,272,2089,2311,8,2317,2319,2,0,0,,,,,,
2015,9,17,4,WN,540,N687SW,LAS,TUS,1825,1825,0,8,1833,75,69,58,365,1931,3,1940,1934,-6,0,0,,,,,,
2015,8,16,7,AS,633,N535AS,PHX,SEA,1500,1454,-6,9,1503,170,172,155,1107,1738,8,1750,1746,-4,0,0,,,,,,
2015,1,24,6,OO,4971,N755SK,DEN,SUN,1105,1123,18,18,1141,111,115,94,557,1315,3,1256,1318,22,0,0,,4,0,18,0,0
2015,11,2,1,MQ,3433,N900MQ,ORD,DAY,1639,1634,-5,19,1653,75,65,41,240,1834,5,1854,1839,-15,0,0,,,,,,
2015,7,1,3,NK,610,N506NK,TPA,FLL,710,707,-3,9,716,58,55,39,197,755,7,808,802,-6,0,0,,,,,,
2015,7,24,5,AA,358,N202AA,ORD,STL,859,855,-4,12,907,75,65,42,258,949,11,1014,1000,-14,0,0,,,,,,
2015,11,19,4,EV,5449,N761ND,DTW,ELM,1351,1351,0,10,1401,70,69,56,332,1457,3,1501,1500,-1,0,0,,,,,,
2015,3,20,5,DL,2366,N320US,SLC,SMF,1142,1135,-7,11,1146,100,90,77,532,1203,2,1222,1205,-17,0,0,,,,,,
2015,10,10,6,EV,4455,N12172,13244,13930,1113,1104,-9,10,1114,112,106,82,491,1236,14,1305,1250,-15,0,0,,,,,,
2015,2,19,4,AA,2386,N4YNAA,DFW,AUS,2240,2251,11,14,2305,51,49,31,190,2336,4,2331,2340,9,0,0,,,,,,
2015,11,13,5,DL,2232,N803DN,MSP,MKE,1520,1516,-4,11,1527,70,62,45,297,1612,6,1630,1618,-12,0,0,,,,,,
2015,10,17,6,WN,3797,N918WN,11697,10821,1955,2002,7,12,2014,155,142,123,925,2217,7,2230,2224,-6,0,0,,,,,,
2015,4,7,2,DL,2506,N970DL,ATL,ECP,1344,1341,-3,11,1352,67,52,38,240,1330,3,1351,1333,-18,0,0,,,,,,
2015,6,24,3,DL,1772,N692DL,PHX,ATL,1309,1601,172,18,1619,233,232,201,1587,2240,13,2002,2253,171,0,0,,171,0,0,0,0
2015,12,2,3,UA,556,N460UA,DEN,LGA,1125,1153,28,26,1219,220,227,197,1620,1736,4,1705,1740,35,0,0,,35,0,0,0,0
2015,7,17,5,AA,545,N539UW,LAX,PHX,1620,1618,-2,23,1641,98,93,62,370,1743,8,1758,1751,-7,0,0,,,,,,
2015,2,14,6,EV,6072,N12540,IND,ORD,1835,1826,-9,18,1844,72,82,49,177,1833,15,1847,1848,1,0,0,,,,,,
2015,8,24,1,WN,3121,N685SW,IND,MCO,1505,1501,-4,8,1509,135,128,114,829,1703,6,1720,1709,-11,0,0,,,,,,
2015,12,31,4,NK,630,N615NK,LAX,DEN,920,920,0,19,939,139,149,120,862,1239,10,1239,1249,10,0,0,,,,,,
2015,3,23,1,MQ,3095,N686MQ,ROW,DFW,1818,1806,-12,4,1810,86,81,64,435,2014,13,2044,2027,-17,0,0,,,,,,
2015,3,25,3,DL,2387,N964DN,DAB,ATL,1129,1129,0,12,1141,90,90,70,366,1251,8,1259,1259,0,0,0,,,,,,
2015,5,30,6,B6,551,N635JB,TPA,SJU,2329,2322,-7,11,2333,167,167,152,1237,205,4,216,209,-7,0,0,,,,,,
2015,5,23,6,OO,5393,N924SW,MKE,ORD,546,544,-2,7,551,48,36,22,67,613,7,634,620,-14,0,0,,,,,,
2015,11,18,3,WN,845,N727SW,SJC,SEA,1320,1537,137,9,1546,130,123,109,697,1735,5,1530,1740,130,0,0,,0,0,93,37,0
2015,5,6,3,WN,560,N7737E,SAN,RNO,1140,1135,-5,18,1153,95,92,69,488,1302,5,1315,1307,-8,0,0,,,,,,
2015,5,19,2,OO,4815,N912EV,FAT,SLC,1215,1211,-4,12,1223,100,95,77,501,1440,6,1455,1446,-9,0,0,,,,,,
2015,8,16,7,OO,7377,N8942A,BTM,SLC,1145,1141,-4,15,1156,82,81,57,358,1253,9,1307,1302,-5,0,0,,,,,,
2015,10,16,5,UA,1295,N61881,14262,11292,1331,1325,-6,8,1333,132,116,101,776,1614,7,1643,1621,-22,0,0,,,,,,
2015,12,23,3,EV,4888,N923EV,SHV,ATL,645,638,-7,11,649,99,101,77,551,906,13,924,919,-5,0,0,,,,,,
2015,5,1,5,OO,5595,N984CA,FCA,DEN,700,652,-8,10,702,133,132,112,752,854,10,913,904,-9,0,0,,,,,,
2015,7,5,7,MQ,3663,N918MQ,CMH,ORD,1031,1025,-6,20,1045,81,73,47,296,1032,6,1052,1038,-14,0,0,,,,,,
2015,11,1,7,AA,600,N557UW,PHX,JFK,955,1017,22,18,1035,305,270,241,2153,1636,11,1700,1647,-13,0,0,,,,,,
2015,6,3,3,DL,1196,N752AT,OGG,LAX,1209,1208,-1,13,1221,321,315,285,2486,2006,17,2030,2023,-7,0,0,,,,,,
2015,3,6,5,EV,4884,N612QX,MSP,MDW,857,917,20,20,937,95,86,61,349,1038,5,1032,1043,11,0,0,,,,,,
2015,7,5,7,B6,4,N729JB,SJU,JFK,1100,1057,-3,9,1106,239,217,206,1598,1432,2,1459,1434,-25,0,0,,,,,,
2015,8,4,2,WN,1996,N7730A,ATL,LAS,1000,1000,0,21,1021,265,264,238,1747,1119,5,1125,1124,-1,0,0,,,,,,
2015,4,1,3,WN,2326,N275WN,BWI,BHM,2025,2041,16,18,2059,130,119,97,682,2136,4,2135,2140,5,0,0,,,,,,
2015,12,18,5,WN,1171,N274WN,STL,OMA,1730,1810,40,6,1816,75,69,59,342,1915,4,1845,1919,34,0,0,,0,0,0,34,0
2015,1,20,2,AA,1180,N5CDAA,DFW,SJU,1300,1257,-3,16,1313,264,242,222,2165,1855,4,1924,1859,-25,0,0,,,,,,
2015,10,7,3,WN,529,N7831B,13198,11259,730,725,-5,6,731,90,79,68,460,839,5,900,844,-16,0,0,,,,,,
2015,8,17,1,WN,146,N556WN,PDX,OAK,1630,1630,0,9,1639,100,93,78,543,1757,6,1810,1803,-7,0,0,,,,,,
2015,2,3,2,F9,741,N935FR,DEN,PHX,925,940,15,13,953,112,100,83,602,1116,4,1117,1120,3,0,0,,,,,,
2015,1,5,1,US,760,N747UW,MIA,CLT,1645,1641,-4,13,1654,131,116,93,650,1827,10,1856,1837,-19,0,0,,,,,,
2015,11,10,2,AA,600,N189UW,JFK,CLT,1830,1826,-4,16,1842,127,110,83,541,2005,11,2037,2016,-21,0,0,,,,,,
2015,1,23,5,OO,4530,N8923A,MSP,FSD,1559,1557,-2,18,1615,65,56,33,196,1648,5,1704,1653,-11,0,0,,,,,,
2015,7,23,4,DL,1151,N585NW,SFO,HNL,1505,1519,14,19,1538,328,306,282,2398,1720,5,1733,1725,-8,0,0,,,,,,
2015,8,23,7,OO,6296,N770SK,ORD,ATL,1603,1619,16,30,1649,125,119,85,606,1914,4,1908,1918,10,0,0,,,,,,
2015,8,21,5,DL,2833,N951DN,RDU,MSP,625,617,-8,14,631,171,155,136,980,747,5,816,752,-24,0,0,,,,,,
2015,6,27,6,MQ,3501,N824MQ,ORD,MHK,1329,1335,6,16,1351,106,91,72,501,1503,3,1515,1506,-9,0,0,,,,,,
2015,11,10,2,OO,2965,N702BR,TUS,LAX,700,654,-6,22,716,100,103,76,451,732,5,740,737,-3,0,0,,,,,,
2015,5,15,5,MQ,3060,N1EAMQ,DFW,TUL,1700,1705,5,17,1722,73,60,40,237,1802,3,1813,1805,-8,0,0,,,,,,
2015,8,16,7,EV,3813,N13989,EWR,BNA,1659,1653,-6,18,1711,153,152,102,748,1753,32,1832,1825,-7,0,0,,,,,,
2015,4,8,3,WN,3038,N346SW,BNA,CMH,2105,2057,-8,6,2103,70,64,52,337,2255,6,2315,2301,-14,0,0,,,,,,
2015,4,10,5,WN,4832,N644SW,DAL,MCI,2215,2222,7,11,2233,90,81,66,460,2339,4,2345,2343,-2,0,0,,,,,,
2015,2,10,2,WN,352,N202WN,OMA,MDW,1050,1045,-5,28,1113,95,93,60,423,1213,5,1225,1218,-7,0,0,,,,,,
2015,5,25,1,US,2028,N700UW,CLT,RIC,1745,1739,-6,11,1750,64,60,43,257,1833,6,1849,1839,-10,0,0,,,,,,
2015,10,22,4,WN,1830,N414WN,12892,14831,935,931,-4,12,943,65,66,51,308,1034,3,1040,1037,-3,0,0,,,,,,
2015,2,8,7,B6,2007,N524JB,PIT,FLL,710,706,-4,12,718,169,153,136,994,934,5,959,939,-20,0,0,,,,,,
2015,5,28,4,AA,1581,N3LUAA,DFW,BDL,1220,1220,0,46,1306,216,254,204,1471,1730,4,1656,1734,38,0,0,,38,0,0,0,0
2015,11,29,7,WN,1616,N606SW,LAS,SLC,1635,1649,14,11,1700,80,71,57,368,1857,3,1855,1900,5,0,0,,,,,,
2015,8,11,2,WN,1924,N556WN,PHX,LIT,1045,1356,191,20,1416,160,160,137,1136,1833,3,1525,1836,191,0,0,,0,0,13,178,0
2015,2,20,5,WN,3414,N953WN,ONT,OAK,1400,1423,23,9,1432,75,69,54,362,1526,6,1515,1532,17,0,0,,0,0,7,10,0
2015,1,16,5,UA,711,N422UA,ORD,LAS,1155,1151,-4,15,1206,242,223,202,1514,1328,6,1357,1334,-23,0,0,,,,,,
2015,1,8,4,WN,160,N626SW,MKE,DCA,730,726,-4,11,737,120,101,85,634,1002,5,1030,1007,-23,0,0,,,,,,
2015,5,8,5,WN,4993,N254WN,MSY,BNA,755,753,-2,12,805,85,90,70,471,915,8,920,923,3,0,0,,,,,,
2015,6,10,3,EV,5034,N882AS,VLD,ATL,1154,1210,16,15,1225,63,68,45,208,1310,8,1257,1318,21,0,0,,5,0,0,16,0
2015,2,13,5,UA,609,N422UA,SFO,SEA,1845,1848,3,16,1904,128,108,87,679,2031,5,2053,2036,-17,0,0,,,,,,
2015,4,15,3,AA,1022,N856AA,LAS,DFW,1410,1405,-5,16,1421,170,160,126,1055,1827,18,1900,1845,-15,0,0,,,,,,
2015,4,30,4,OO,4791,N617QX,SEA,GEG,2200,2217,17,15,2232,64,53,34,224,2306,4,2304,2310,6,0,0,,,,,,
2015,5,18,1,US,879,N547UW,MSP,CLT,650,643,-7,10,653,153,151,119,930,952,22,1023,1014,-9,0,0,,,,,,
2015,2,1,7,DL,1412,N932DL,BNA,ATL,1158,1154,-4,29,1223,78,74,35,214,1358,10,1416,1408,-8,0,0,,,,,,
2015,3,4,3,OO,5505,N797SK,FAT,DEN,1331,1418,47,11,1429,134,126,112,844,1721,3,1645,1724,39,0,0,,0,0,0,39,0
2015,2,16,1,WN,1137,N214WN,SAN,TUS,1700,1706,6,10,1716,70,73,60,368,1916,3,1910,1919,9,0,0,,,,,,
2015,12,10,4,B6,718,N354JB,JFK,BOS,2241,2240,-1,19,2259,64,67,42,187,2341,6,2345,2347,2,0,0,,,,,,
2015,10,3,6,NK,975,N504NK,11292,14107,929,924,-5,12,936,104,114,93,602,1009,9,1013,1018,5,0,0,,,,,,
2015,10,15,4,OO,7367,N453SW,11433,10333,1544,1539,-5,21,1600,71,66,40,198,1640,5,1655,1645,-10,0,0,,,,,,
2015,5,25,1,DL,1267,N920DE,ATL,DTW,1750,1749,-1,18,1807,125,108,82,594,1929,8,1955,1937,-18,0,0,,,,,,
2015,1,4,7,OO,5431,N919SW,ORD,MKE,1017,1131,74,52,1223,48,73,17,67,1240,4,1105,1244,99,0,0,,25,0,23,51,0
2015,5,8,5,B6,402,N523JB,FLL,JFK,1739,1839,60,21,1900,186,167,138,1069,2118,8,2045,2126,41,0,0,,41,0,0,0,0
2015,10,19,1,AA,2460,N873AA,11298,12892,1500,1459,-1,17,1516,206,195,173,1235,1609,5,1626,1614,-12,0,0,,,,,,
2015,7,30,4,OO,6362,N743SK,IAH,AUS,2255,2258,3,16,2314,54,47,26,140,2340,5,2349,2345,-4,0,0,,,,,,
2015,2,19,4,AS,80,N796AS,ANC,SEA,1035,1033,-2,15,1048,200,197,177,1448,1445,5,1455,1450,-5,0,0,,,,,,
2015,6,5,5,WN,2409,N446WN,MCI,BWI,2020,2011,-9,10,2021,150,139,121,967,2322,8,2350,2330,-20,0,0,,,,,,
2015,9,15,2,WN,1752,N478WN,BWI,ALB,1035,1032,-3,15,1047,70,72,53,289,1140,4,1145,1144,-1,0,0,,,,,,
2015,10,18,7,NK,832,N611NK,12266,13204,1015,1431,256,15,1446,135,131,106,854,1732,10,1330,1742,252,0,0,,252,0,0,0,0
2015,10,11,7,OO,6237,N983SW,10627,11292,1309,1308,-1,17,1325,104,106,82,516,1347,7,1353,1354,1,0,0,,,,,,
2015,9,18,5,MQ,3422,N625MQ,ORD,IND,1142,1221,39,10,1231,73,48,32,177,1403,6,1355,1409,14,0,0,,,,,,
2015,2,13,5,WN,416,N939WN,DAY,DEN,1640,1636,-4,8,1644,190,168,155,1085,1719,5,1750,1724,-26,0,0,,,,,,
2015,3,31,2,WN,164,N915WN,MKE,BWI,555,551,-4,12,603,120,102,87,641,830,3,855,833,-22,0,0,,,,,,
2015,7,17,5,AA,486,N571UW,PHX,ORD,1840,1851,11,14,1905,212,195,175,1440,2400,6,12,6,-6,0,0,,,,,,
2015,1,16,5,US,796,N151UW,LAX,PHL,1125,1118,-7,38,1156,304,336,293,2402,1949,5,1929,1954,25,0,0,,25,0,0,0,0
2015,4,16,4,EV,5028,N847AS,AVP,DTW,615,603,-12,13,616,103,101,74,399,730,14,758,744,-14,0,0,,,,,,
2015,5,1,5,EV,4733,N13992,EWR,BOS,2034,2034,0,19,2053,91,66,40,200,2133,7,2205,2140,-25,0,0,,,,,,
2015,10,27,2,AA,2339,N4XGAA,11292,13930,1050,1048,-2,13,1101,146,149,119,888,1400,17,1416,1417,1,0,0,,,,,,
2015,6,27,6,DL,2637,N915AT,ATL,AGS,2225,2234,9,24,2258,56,59,30,143,2328,5,2321,2333,12,0,0,,,,,,
2015,11,25,3,DL,743,N390DA,ATL,RDU,1730,1729,-1,11,1740,80,67,52,356,1832,4,1850,1836,-14,0,0,,,,,,
2015,8,6,4,WN,152,N951WN,MDW,STL,2040,2251,131,12,2303,65,61,46,251,2349,3,2145,2352,127,0,0,,0,0,0,127,0
2015,5,6,3,OO,7407,N457SW,SLC,TWF,2200,2151,-9,14,2205,47,48,29,175,2234,5,2247,2239,-8,0,0,,,,,,
2015,2,14,6,NK,416,N636NK,FLL,IAG,2215,,,,,176,,,1176,,,111,,,0,1,B,,,,,
2015,1,1,4,EV,5961,N15983,SCE,ORD,745,737,-8,10,747,117,119,104,528,831,5,842,836,-6,0,0,,,,,,
2015,5,13,3,AS,72,N469AS,JNU,SEA,800,755,-5,11,806,140,139,121,909,1107,7,1120,1114,-6,0,0,,,,,,
2015,11,28,6,WN,2744,N451WN,SEA,LAS,530,529,-1,13,542,145,132,114,867,736,5,755,741,-14,0,0,,,,,,
2015,9,3,4,AS,634,N469AS,SEA,PHX,710,704,-6,24,728,168,178,149,1107,957,5,958,1002,4,0,0,,,,,,
2015,5,9,6,US,1723,N837AW,CLT,FLL,1955,1956,1,12,2008,114,107,91,632,2139,4,2149,2143,-6,0,0,,,,,,
2015,6,27,6,DL,2007,N3749D,JFK,MCO,805,802,-3,25,827,169,159,129,944,1036,5,1054,1041,-13,0,0,,,,,,
2015,1,12,1,EV,4111,N14573,IAH,BHM,2112,2116,4,8,2124,95,89,74,562,2238,7,2247,2245,-2,0,0,,,,,,
2015,2,20,5,B6,1635,N547JB,SFO,LGB,1920,1916,-4,15,1931,77,83,62,354,2033,6,2037,2039,2,0,0,,,,,,
2015,3,24,2,F9,769,N216FR,DEN,LAS,807,806,-1,18,824,113,117,92,628,856,7,900,903,3,0,0,,,,,,
2015,2,9,1,WN,2790,N610WN,OAK,ABQ,1510,1509,-1,11,1520,130,125,108,889,1808,6,1820,1814,-6,0,0,,,,,,
2015,9,27,7,DL,1373,N964DL,ATL,TPA,1135,1135,0,14,1149,79,82,66,406,1255,2,1254,1257,3,0,0,,,,,,
2015,4,16,4,EV,4309,N27200,ORD,CRW,1350,1343,-7,23,1406,89,94,68,416,1614,3,1619,1617,-2,0,0,,,,,,
2015,11,25,3,OO,5393,N963SW,ORD,FWA,730,725,-5,22,747,57,57,32,157,919,3,927,922,-5,0,0,,,,,,
2015,9,9,3,DL,1416,N530US,JAX,ATL,1700,1658,-2,25,1723,87,80,43,270,1806,12,1827,1818,-9,0,0,,,,,,
2015,3,2,1,EV,5932,N16170,CAK,ORD,1900,1856,-4,10,1906,90,101,66,343,1912,25,1930,1937,7,0,0,,,,,,
2015,5,22,5,AS,343,N461AS,OAK,SEA,1310,1316,6,8,1324,109,117,97,672,1501,12,1459,1513,14,0,0,,,,,,
2015,12,26,6,EV,6097,N17115,SAV,IAH,615,,,,,168,,,851,,,803,,,0,1,C,,,,,
2015,2,23,1,WN,695,N955WN,LAS,RNO,605,603,-2,11,614,80,73,58,345,712,4,725,716,-9,0,0,,,,,,
2015,10,13,2,WN,210,N564WN,11259,14908,915,951,36,11,1002,195,175,159,1216,1041,5,1030,1046,16,0,0,,0,0,16,0,0
2015,8,12,3,OO,5605,N718SK,ASE,DEN,700,654,-6,16,710,51,51,27,125,737,8,751,745,-6,0,0,,,,,,
2015,8,21,5,AA,1755,N967UW,PHL,RDU,2030,2044,14,17,2101,84,77,56,337,2157,4,2154,2201,7,0,0,,,,,,
2015,12,20,7,DL,881,N959DN,ATL,AUS,1205,1220,15,13,1233,153,142,123,813,1336,6,1338,1342,4,0,0,,,,,,
2015,12,6,7,WN,2440,N620SW,SEA,OAK,1305,1348,43,14,1402,125,117,96,672,1538,7,1510,1545,35,0,0,,0,0,16,19,0
2015,12,9,3,EV,2742,N667GB,DFW,BRO,1535,1526,-9,7,1533,98,80,69,482,1642,4,1713,1646,-27,0,0,,,,,,
2015,7,7,2,B6,1070,N355JB,FLL,BOS,1850,1849,-1,16,1905,190,182,163,1237,2148,3,2200,2151,-9,0,0,,,,,,
2015,5,22,5,UA,1023,N54711,SNA,ORD,645,655,10,24,719,245,221,188,1726,1227,9,1250,1236,-14,0,0,,,,,,
2015,3,4,3,MQ,3275,N932MQ,PIA,DFW,640,636,-4,24,700,150,179,138,672,918,17,910,935,25,0,0,,25,0,0,0,0
2015,5,11,1,F9,720,N208FR,DEN,DCA,1630,1621,-9,13,1634,199,217,190,1476,2144,14,2149,2158,9,0,0,,,,,,
2015,3,10,2,WN,2582,N267WN,STL,ATL,2140,2140,0,8,2148,90,82,67,484,2355,7,10,2,-8,0,0,,,,,,
2015,4,21,2,OO,6298,N979SW,AMA,DEN,1257,1249,-8,12,1301,77,74,56,359,1257,6,1314,1303,-11,0,0,,,,,,
2015,2,1,7,NK,574,N602NK,FLL,TPA,2109,2113,4,22,2135,61,64,37,197,2212,5,2210,2217,7,0,0,,,,,,
2015,3,29,7,UA,1274,N23708,DFW,EWR,600,559,-1,13,612,201,194,175,1372,1007,6,1021,1013,-8,0,0,,,,,,
