YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,11,29,7,DL,719,N910AT,MEM,DTW,1530,1551,21,19,1610,121,111,82,610,1832,10,1831,1842,11,0,0,,,,,,
2015,11,4,3,AA,2290,N3HBAA,DFW,MCO,1200,1155,-5,16,1211,158,150,127,985,1518,7,1538,1525,-13,0,0,,,,,,
2015,4,2,4,MQ,3339,N534MQ,ORD,XNA,725,741,16,17,758,107,107,87,522,925,3,912,928,16,0,0,,0,0,16,0,0
2015,8,27,4,DL,2313,N924DL,MSP,CMH,1319,1311,-8,21,1332,106,105,79,626,1551,5,1605,1556,-9,0,0,,,,,,
2015,3,27,5,AA,1310,N4YAAA,CLE,DFW,1307,1303,-4,29,1332,188,176,139,1021,1451,8,1515,1459,-16,0,0,,,,,,
2015,2,18,3,US,1922,N732US,ATL,CLT,1959,2006,7,26,2032,75,74,42,226,2114,6,2114,2120,6,0,0,,,,,,
2015,11,17,2,UA,948,N535UA,SFO,DEN,816,813,-3,21,834,154,164,130,967,1144,13,1150,1157,7,0,0,,,,,,
2015,2,6,5,EV,4419,N27152,EWR,XNA,841,843,2,17,900,210,188,168,1131,1048,3,1111,1051,-20,0,0,,,,,,
2015,12,15,2,DL,2599,N978AT,ATL,BNA,1510,1508,-2,16,1524,70,61,38,214,1502,7,1520,1509,-11,0,0,,,,,,
2015,2,17,2,UA,1690,N69840,MCO,IAH,1644,1757,73,14,1811,156,171,151,854,1942,6,1820,1948,88,0,0,,15,0,0,64,9
2015,4,17,5,WN,313,N765SW,CLE,MDW,1215,1212,-3,7,1219,70,64,51,307,1210,6,1225,1216,-9,0,0,,,,,,
2015,9,23,3,WN,1539,N8615E,STL,BWI,1435,1440,5,7,1447,115,115,102,738,1729,6,1730,1735,5,0,0,,,,,,
2015,2,5,4,WN,4885,N396SW,ISP,BWI,1455,1607,72,6,1613,75,65,56,220,1709,3,1610,1712,62,0,0,,0,0,8,54,0
2015,2,27,5,WN,289,N7815L,ALB,MCO,1210,1205,-5,7,1212,190,195,178,1073,1510,10,1520,1520,0,0,0,,,,,,
2015,12,7,1,OO,5749,N824AS,FAR,DEN,1955,1939,-16,9,1948,127,98,82,627,2010,7,2102,2017,-45,0,0,,,,,,
2015,1,4,7,AA,2431,N4XYAA,MSP,DFW,1550,1611,21,21,1632,165,153,123,852,1835,9,1835,1844,9,0,0,,,,,,
2015,5,14,4,EV,4165,N16170,FNT,ORD,1655,1646,-9,9,1655,68,69,44,223,1639,16,1703,1655,-8,0,0,,,,,,
2015,9,30,3,HA,12,N381HA,HNL,SFO,1340,1354,14,15,1409,305,306,279,2398,2148,12,2145,2200,15,0,0,,0,0,15,0,0
2015,10,31,6,EV,3259,N12167,12197,13930,650,642,-8,12,654,155,149,123,738,757,14,825,811,-14,0,0,,,,,,
2015,11,22,7,EV,4170,N14173,IAH,MKE,1018,1016,-2,21,1037,171,171,144,984,1301,6,1309,1307,-2,0,0,,,,,,
2015,6,7,7,DL,1819,N534US,ATL,MKE,1949,1945,-4,20,2005,127,128,103,669,2048,5,2056,2053,-3,0,0,,,,,,
2015,3,21,6,WN,1566,N371SW,TPA,AUS,1635,1737,62,10,1747,165,158,145,928,1912,3,1820,1915,55,0,0,,0,0,16,39,0
2015,3,9,1,DL,2316,N130DL,DTW,LAS,855,853,-2,19,912,271,243,216,1749,948,8,1026,956,-30,0,0,,,,,,
2015,9,8,2,DL,1482,N826DN,RDU,ATL,715,717,2,13,730,95,82,61,356,831,8,850,839,-11,0,0,,,,,,
